,Base Website,Scraped Page,formated_number
9733,https://www.opengate.cz/,https://www.opengate.cz/,+420200797000
9276,http://znojmo.charita.cz,http://znojmo.charita.cz,+420201920182
8522,http://znojmo.charita.cz/,http://znojmo.charita.cz/,+420201920182
10802,https://www.homeopatiecz.com/,https://www.homeopatiecz.com/,+420202003161
10778,https://www.homeopatiecz.com/,https://www.homeopatiecz.com/,+420202003181
8520,http://znojmo.charita.cz/,http://znojmo.charita.cz/,+420202019201
9274,http://znojmo.charita.cz,http://znojmo.charita.cz,+420202019201
17170,https://www.psychologieuorloje.cz/,https://www.psychologieuorloje.cz/,+420202020203
16217,https://www.otrokovice.charita.cz,https://www.otrokovice.charita.cz,+420202120222
9279,http://znojmo.charita.cz,http://znojmo.charita.cz,+420202420232
8525,http://znojmo.charita.cz/,http://znojmo.charita.cz/,+420202420232
9717,https://www.rc-routa.cz,https://www.rc-routa.cz,+420207825088
10587,https://www.renadi.cz,https://www.renadi.cz,+420210032164
8215,http://www.spondea.cz/,http://www.spondea.cz/,+420210071107
7913,http://www.respondeo.cz/,http://www.respondeo.cz/,+420210108039
16515,https://www.psychologicka-ordinace-janovska.cz/,https://www.psychologicka-ordinace-janovska.cz/,+420210119879
5349,http://www.profem.cz/,http://www.profem.cz/,+420210124603
11128,https://www.jablonec.diakonie.cz,https://www.jablonec.diakonie.cz,+420210141338
10786,https://www.homeopatiecz.com/,https://www.homeopatiecz.com/,+420210200072
8400,https://hb.charita.cz,https://hb.charita.cz,+420210656667
4368,http://www.hb.charita.cz,http://www.hb.charita.cz,+420210656667
7681,http://www.sojka.hbnet.cz/,http://www.sojka.hbnet.cz/,+420210857969
5614,http://www.sojka.hbnet.cz,http://www.sojka.hbnet.cz,+420210857969
11566,https://www.oskvetina.cz,https://www.oskvetina.cz,+420210988782
7679,http://www.sojka.hbnet.cz/,http://www.sojka.hbnet.cz/,+420211063061
5612,http://www.sojka.hbnet.cz,http://www.sojka.hbnet.cz,+420211063061
15485,https://www.neskrytost.cz,https://www.neskrytost.cz,+420211117428
8808,https://charitafm.cz,https://charitafm.cz,+420211285805
7682,http://www.sojka.hbnet.cz/,http://www.sojka.hbnet.cz/,+420211388810
5615,http://www.sojka.hbnet.cz,http://www.sojka.hbnet.cz,+420211388810
16898,https://www.sos-vesnicky.cz,https://www.sos-vesnicky.cz,+420211757409
16903,https://www.sos-vesnicky.cz,https://www.sos-vesnicky.cz,+420212246212
16263,https://www.prevent99.cz,https://www.prevent99.cz,+420212818883
9501,http://www.vidacentrum.cz/,http://www.vidacentrum.cz/,+420215178359
8976,http://www.vidacr.cz/,http://www.vidacr.cz/,+420215178359
9572,http://www.vidacr.cz,http://www.vidacr.cz,+420215178359
10436,https://www.ckrumlov.charita.cz,https://www.ckrumlov.charita.cz,+420217333850
3205,http://www.ckrumlov.charita.cz,http://www.ckrumlov.charita.cz,+420217333850
4571,http://www.icmck.cz/,http://www.icmck.cz/,+420218137931
290,http://www.kotec.cz/,http://www.kotec.cz/,+420220003586
10892,https://www.kotec.cz,https://www.kotec.cz,+420220003586
3291,http://www.kotec.cz,http://www.kotec.cz,+420220003586
13272,https://www.majak-plus.cz,https://www.majak-plus.cz,+420220159463
2510,http://www.sympathea.cz/,http://www.sympathea.cz/,+420220168646
2717,http://www.armadaspasy.cz/,http://www.armadaspasy.cz/,+420220184005
2201,http://www.armadaspasy.cz,http://www.armadaspasy.cz,+420220184005
10757,https://psychosomatika.cz/,https://psychosomatika.cz/,+420220235458
15083,https://www.ppppraha7a8.cz/,https://www.ppppraha7a8.cz/,+420220514481
15559,https://www.ppp6.cz/,https://www.ppp6.cz/,+420220612131
15023,https://www.ppppraha7a8.cz/,https://www.ppppraha7a8.cz/,+420220805247
15018,https://www.ppppraha7a8.cz/,https://www.ppppraha7a8.cz/,+420220805297
11641,https://www.greendoors.cz,https://www.greendoors.cz,+420220951468
17990,https://www.skp-centrum.cz,https://www.skp-centrum.cz,+420221077482
405,http://www.leccos.cz,http://www.leccos.cz,+420221457653
15048,https://www.ppppraha7a8.cz/,https://www.ppppraha7a8.cz/,+420221715226
11107,https://www.melaops.cz,https://www.melaops.cz,+420222194779
15054,https://www.ppppraha7a8.cz/,https://www.ppppraha7a8.cz/,+420222201020
5635,http://www.r-mosty.cz,http://www.r-mosty.cz,+420222221644
